periodo,destino,exportaciones_musd,continente,subregion,pais
2003-01-01,América. América del Norte. Estados Unidos,436.85444651,América,América del Norte,Estados Unidos
2003-02-01,América. América del Norte. Estados Unidos,313.62611579,América,América del Norte,Estados Unidos
2003-03-01,América. América del Norte. Estados Unidos,428.21924859,América,América del Norte,Estados Unidos
2003-04-01,América. América del Norte. Estados Unidos,367.56548411,América,América del Norte,Estados Unidos
2003-05-01,América. América del Norte. Estados Unidos,280.54538486,América,América del Norte,Estados Unidos
2003-06-01,América. América del Norte. Estados Unidos,233.72943461,América,América del Norte,Estados Unidos
2003-07-01,América. América del Norte. Estados Unidos,274.84863707,América,América del Norte,Estados Unidos
2003-08-01,América. América del Norte. Estados Unidos,252.66258563,América,América del Norte,Estados Unidos
2003-09-01,América. América del Norte. Estados Unidos,232.87719457,América,América del Norte,Estados Unidos
2003-10-01,América. América del Norte. Estados Unidos,317.74728528,América,América del Norte,Estados Unidos
2003-11-01,América. América del Norte. Estados Unidos,230.17417895,América,América del Norte,Estados Unidos
2003-12-01,América. América del Norte. Estados Unidos,412.79576026,América,América del Norte,Estados Unidos
2004-01-01,América. América del Norte. Estados Unidos,451.55848132,América,América del Norte,Estados Unidos
2004-02-01,América. América del Norte. Estados Unidos,415.17245659,América,América del Norte,Estados Unidos
2004-03-01,América. América del Norte. Estados Unidos,497.0963273,América,América del Norte,Estados Unidos
2004-04-01,América. América del Norte. Estados Unidos,429.3697372,América,América del Norte,Estados Unidos
2004-05-01,América. América del Norte. Estados Unidos,305.75563148,América,América del Norte,Estados Unidos
2004-06-01,América. América del Norte. Estados Unidos,359.76633426,América,América del Norte,Estados Unidos
2004-07-01,América. América del Norte. Estados Unidos,374.80385052,América,América del Norte,Estados Unidos
2004-08-01,América. América del Norte. Estados Unidos,361.00322054,América,América del Norte,Estados Unidos
2004-09-01,América. América del Norte. Estados Unidos,423.18443421,América,América del Norte,Estados Unidos
2004-10-01,América. América del Norte. Estados Unidos,360.15111876,América,América del Norte,Estados Unidos
2004-11-01,América. América del Norte. Estados Unidos,434.28946255,América,América del Norte,Estados Unidos
2004-12-01,América. América del Norte. Estados Unidos,598.59072295,América,América del Norte,Estados Unidos
2005-01-01,América. América del Norte. Estados Unidos,571.6677094,América,América del Norte,Estados Unidos
2005-02-01,América. América del Norte. Estados Unidos,521.64772422,América,América del Norte,Estados Unidos
2005-03-01,América. América del Norte. Estados Unidos,566.72420799,América,América del Norte,Estados Unidos
2005-04-01,América. América del Norte. Estados Unidos,640.08669793,América,América del Norte,Estados Unidos
2005-05-01,América. América del Norte. Estados Unidos,399.29078383,América,América del Norte,Estados Unidos
2005-06-01,América. América del Norte. Estados Unidos,437.95709871,América,América del Norte,Estados Unidos
2005-07-01,América. América del Norte. Estados Unidos,453.54357109,América,América del Norte,Estados Unidos
2005-08-01,América. América del Norte. Estados Unidos,547.45414797,América,América del Norte,Estados Unidos
2005-09-01,América. América del Norte. Estados Unidos,494.81732078,América,América del Norte,Estados Unidos
2005-10-01,América. América del Norte. Estados Unidos,571.97456408,América,América del Norte,Estados Unidos
2005-11-01,América. América del Norte. Estados Unidos,689.61062897,América,América del Norte,Estados Unidos
2005-12-01,América. América del Norte. Estados Unidos,811.81633746,América,América del Norte,Estados Unidos
2006-01-01,América. América del Norte. Estados Unidos,839.91383057,América,América del Norte,Estados Unidos
2006-02-01,América. América del Norte. Estados Unidos,564.25600711,América,América del Norte,Estados Unidos
2006-03-01,América. América del Norte. Estados Unidos,998.31229128,América,América del Norte,Estados Unidos
2006-04-01,América. América del Norte. Estados Unidos,943.11504221,América,América del Norte,Estados Unidos
2006-05-01,América. América del Norte. Estados Unidos,625.91683234,América,América del Norte,Estados Unidos
2006-06-01,América. América del Norte. Estados Unidos,938.10242552,América,América del Norte,Estados Unidos
2006-07-01,América. América del Norte. Estados Unidos,888.51110856,América,América del Norte,Estados Unidos
2006-08-01,América. América del Norte. Estados Unidos,866.97046601,América,América del Norte,Estados Unidos
2006-09-01,América. América del Norte. Estados Unidos,750.40295199,América,América del Norte,Estados Unidos
2006-10-01,América. América del Norte. Estados Unidos,610.36925035,América,América del Norte,Estados Unidos
2006-11-01,América. América del Norte. Estados Unidos,538.93072043,América,América del Norte,Estados Unidos
2006-12-01,América. América del Norte. Estados Unidos,830.16348762,América,América del Norte,Estados Unidos
2007-01-01,América. América del Norte. Estados Unidos,891.97190982,América,América del Norte,Estados Unidos
2007-02-01,América. América del Norte. Estados Unidos,655.42612387,América,América del Norte,Estados Unidos
2007-03-01,América. América del Norte. Estados Unidos,965.61961721,América,América del Norte,Estados Unidos
2007-04-01,América. América del Norte. Estados Unidos,719.52260419,América,América del Norte,Estados Unidos
2007-05-01,América. América del Norte. Estados Unidos,806.74045465,América,América del Norte,Estados Unidos
2007-06-01,América. América del Norte. Estados Unidos,635.53291029,América,América del Norte,Estados Unidos
2007-07-01,América. América del Norte. Estados Unidos,931.54769692,América,América del Norte,Estados Unidos
2007-08-01,América. América del Norte. Estados Unidos,671.07553294,América,América del Norte,Estados Unidos
2007-09-01,América. América del Norte. Estados Unidos,691.88309066,América,América del Norte,Estados Unidos
2007-10-01,América. América del Norte. Estados Unidos,535.73322673,América,América del Norte,Estados Unidos
2007-11-01,América. América del Norte. Estados Unidos,606.90620936,América,América del Norte,Estados Unidos
2007-12-01,América. América del Norte. Estados Unidos,538.06106656,América,América del Norte,Estados Unidos
2008-01-01,América. América del Norte. Estados Unidos,1033.6174583,América,América del Norte,Estados Unidos
2008-02-01,América. América del Norte. Estados Unidos,781.60291932,América,América del Norte,Estados Unidos
2008-03-01,América. América del Norte. Estados Unidos,674.96977075,América,América del Norte,Estados Unidos
2008-04-01,América. América del Norte. Estados Unidos,872.61675792,América,América del Norte,Estados Unidos
2008-05-01,América. América del Norte. Estados Unidos,689.38225819,América,América del Norte,Estados Unidos
2008-06-01,América. América del Norte. Estados Unidos,579.05959666,América,América del Norte,Estados Unidos
2008-07-01,América. América del Norte. Estados Unidos,814.39368305,América,América del Norte,Estados Unidos
2008-08-01,América. América del Norte. Estados Unidos,616.42134365,América,América del Norte,Estados Unidos
2008-09-01,América. América del Norte. Estados Unidos,464.50003722,América,América del Norte,Estados Unidos
2008-10-01,América. América del Norte. Estados Unidos,409.32445063,América,América del Norte,Estados Unidos
2008-11-01,América. América del Norte. Estados Unidos,417.3618309,América,América del Norte,Estados Unidos
2008-12-01,América. América del Norte. Estados Unidos,671.50373107,América,América del Norte,Estados Unidos
2009-01-01,América. América del Norte. Estados Unidos,762.18153908,América,América del Norte,Estados Unidos
2009-02-01,América. América del Norte. Estados Unidos,581.06579649,América,América del Norte,Estados Unidos
2009-03-01,América. América del Norte. Estados Unidos,656.34260508,América,América del Norte,Estados Unidos
2009-04-01,América. América del Norte. Estados Unidos,516.84226381,América,América del Norte,Estados Unidos
2009-05-01,América. América del Norte. Estados Unidos,387.33324651,América,América del Norte,Estados Unidos
2009-06-01,América. América del Norte. Estados Unidos,374.3507632,América,América del Norte,Estados Unidos
2009-07-01,América. América del Norte. Estados Unidos,434.94009107,América,América del Norte,Estados Unidos
2009-08-01,América. América del Norte. Estados Unidos,393.10558518,América,América del Norte,Estados Unidos
2009-09-01,América. América del Norte. Estados Unidos,380.47282594,América,América del Norte,Estados Unidos
2009-10-01,América. América del Norte. Estados Unidos,467.49545172,América,América del Norte,Estados Unidos
2009-11-01,América. América del Norte. Estados Unidos,473.71249538,América,América del Norte,Estados Unidos
2009-12-01,América. América del Norte. Estados Unidos,771.36412782,América,América del Norte,Estados Unidos
2010-01-01,América. América del Norte. Estados Unidos,750.1493906,América,América del Norte,Estados Unidos
2010-02-01,América. América del Norte. Estados Unidos,536.71937319,América,América del Norte,Estados Unidos
2010-03-01,América. América del Norte. Estados Unidos,596.66077312,América,América del Norte,Estados Unidos
2010-04-01,América. América del Norte. Estados Unidos,687.76786141,América,América del Norte,Estados Unidos
2010-05-01,América. América del Norte. Estados Unidos,659.11605635,América,América del Norte,Estados Unidos
2010-06-01,América. América del Norte. Estados Unidos,541.0985694,América,América del Norte,Estados Unidos
2010-07-01,América. América del Norte. Estados Unidos,468.55813266,América,América del Norte,Estados Unidos
2010-08-01,América. América del Norte. Estados Unidos,468.71500723,América,América del Norte,Estados Unidos
2010-09-01,América. América del Norte. Estados Unidos,439.82160591,América,América del Norte,Estados Unidos
2010-10-01,América. América del Norte. Estados Unidos,515.58341441,América,América del Norte,Estados Unidos
2010-11-01,América. América del Norte. Estados Unidos,516.03775356,América,América del Norte,Estados Unidos
2010-12-01,América. América del Norte. Estados Unidos,700.72964958,América,América del Norte,Estados Unidos
2011-01-01,América. América del Norte. Estados Unidos,881.78950581,América,América del Norte,Estados Unidos
2011-02-01,América. América del Norte. Estados Unidos,865.68682803,América,América del Norte,Estados Unidos
2011-03-01,América. América del Norte. Estados Unidos,1123.4833091,América,América del Norte,Estados Unidos
2011-04-01,América. América del Norte. Estados Unidos,887.23681313,América,América del Norte,Estados Unidos
2011-05-01,América. América del Norte. Estados Unidos,755.78945424,América,América del Norte,Estados Unidos
