periodo,region,exportaciones_musd
2003-01-01,América. América del Norte. Total,527.2705007
2003-02-01,América. América del Norte. Total,398.17602697
2003-03-01,América. América del Norte. Total,508.96094277
2003-04-01,América. América del Norte. Total,501.48907789
2003-05-01,América. América del Norte. Total,401.18099618
2003-06-01,América. América del Norte. Total,306.33159625
2003-07-01,América. América del Norte. Total,409.77497432
2003-08-01,América. América del Norte. Total,392.2550751
2003-09-01,América. América del Norte. Total,322.22458096
2003-10-01,América. América del Norte. Total,497.66535068
2003-11-01,América. América del Norte. Total,371.27249286
2003-12-01,América. América del Norte. Total,494.66241546
2004-01-01,América. América del Norte. Total,595.0578328
2004-02-01,América. América del Norte. Total,555.63060796
2004-03-01,América. América del Norte. Total,629.40823708
2004-04-01,América. América del Norte. Total,600.77629438
2004-05-01,América. América del Norte. Total,477.35503073
2004-06-01,América. América del Norte. Total,552.35708688
2004-07-01,América. América del Norte. Total,515.40966873
2004-08-01,América. América del Norte. Total,582.46342716
2004-09-01,América. América del Norte. Total,647.79857069
2004-10-01,América. América del Norte. Total,547.99505972
2004-11-01,América. América del Norte. Total,655.14398522
2004-12-01,América. América del Norte. Total,820.48633784
2005-01-01,América. América del Norte. Total,714.1510843
2005-02-01,América. América del Norte. Total,677.51392717
2005-03-01,América. América del Norte. Total,736.52750475
2005-04-01,América. América del Norte. Total,942.12950896
2005-05-01,América. América del Norte. Total,618.80739403
2005-06-01,América. América del Norte. Total,666.29667713
2005-07-01,América. América del Norte. Total,701.03913886
2005-08-01,América. América del Norte. Total,786.36040628
2005-09-01,América. América del Norte. Total,705.13481725
2005-10-01,América. América del Norte. Total,823.47106364
2005-11-01,América. América del Norte. Total,1008.6238572
2005-12-01,América. América del Norte. Total,1037.8704045
2006-01-01,América. América del Norte. Total,1041.7602491
2006-02-01,América. América del Norte. Total,816.53598031
2006-03-01,América. América del Norte. Total,1344.6163687
2006-04-01,América. América del Norte. Total,1207.8301434
2006-05-01,América. América del Norte. Total,938.27523269
2006-06-01,América. América del Norte. Total,1345.0919909
2006-07-01,América. América del Norte. Total,1197.6966842
2006-08-01,América. América del Norte. Total,1294.6285764
2006-09-01,América. América del Norte. Total,1050.682274
2006-10-01,América. América del Norte. Total,909.85125755
2006-11-01,América. América del Norte. Total,819.09210015
2006-12-01,América. América del Norte. Total,1060.451888
2007-01-01,América. América del Norte. Total,1137.9974283
2007-02-01,América. América del Norte. Total,890.84512285
2007-03-01,América. América del Norte. Total,1375.4980809
2007-04-01,América. América del Norte. Total,962.59482548
2007-05-01,América. América del Norte. Total,1191.1446373
2007-06-01,América. América del Norte. Total,1009.3905642
2007-07-01,América. América del Norte. Total,1206.6421131
2007-08-01,América. América del Norte. Total,900.97998246
2007-09-01,América. América del Norte. Total,961.53761873
2007-10-01,América. América del Norte. Total,919.76361753
2007-11-01,América. América del Norte. Total,901.14520699
2007-12-01,América. América del Norte. Total,818.82486662
2008-01-01,América. América del Norte. Total,1336.7285888
2008-02-01,América. América del Norte. Total,1223.6116684
2008-03-01,América. América del Norte. Total,970.25257055
2008-04-01,América. América del Norte. Total,1238.6187554
2008-05-01,América. América del Norte. Total,1010.0895659
2008-06-01,América. América del Norte. Total,892.47501009
2008-07-01,América. América del Norte. Total,1111.8268801
2008-08-01,América. América del Norte. Total,866.91824587
2008-09-01,América. América del Norte. Total,712.92661042
2008-10-01,América. América del Norte. Total,580.77468995
2008-11-01,América. América del Norte. Total,599.48408221
2008-12-01,América. América del Norte. Total,885.88879175
2009-01-01,América. América del Norte. Total,899.47007735
2009-02-01,América. América del Norte. Total,769.44424758
2009-03-01,América. América del Norte. Total,855.54391441
2009-04-01,América. América del Norte. Total,745.52542319
2009-05-01,América. América del Norte. Total,620.16465365
2009-06-01,América. América del Norte. Total,579.01804841
2009-07-01,América. América del Norte. Total,668.54334953
2009-08-01,América. América del Norte. Total,658.20476471
2009-09-01,América. América del Norte. Total,582.95580274
2009-10-01,América. América del Norte. Total,778.73878737
2009-11-01,América. América del Norte. Total,680.50615275
2009-12-01,América. América del Norte. Total,1122.3830504
2010-01-01,América. América del Norte. Total,955.73076211
2010-02-01,América. América del Norte. Total,804.30455649
2010-03-01,América. América del Norte. Total,930.4561409
2010-04-01,América. América del Norte. Total,937.08177034
2010-05-01,América. América del Norte. Total,912.77794974
2010-06-01,América. América del Norte. Total,842.72445002
2010-07-01,América. América del Norte. Total,754.51546938
2010-08-01,América. América del Norte. Total,695.01647626
2010-09-01,América. América del Norte. Total,697.03977233
2010-10-01,América. América del Norte. Total,822.62404841
2010-11-01,América. América del Norte. Total,726.68476774
2010-12-01,América. América del Norte. Total,1010.1207371
2011-01-01,América. América del Norte. Total,1150.2243977
2011-02-01,América. América del Norte. Total,1120.996616
2011-03-01,América. América del Norte. Total,1447.3266043
2011-04-01,América. América del Norte. Total,1221.8252964
2011-05-01,América. América del Norte. Total,1024.6311035
2011-06-01,América. América del Norte. Total,964.99193449
2011-07-01,América. América del Norte. Total,933.55806072
2011-08-01,América. América del Norte. Total,953.87981495
2011-09-01,América. América del Norte. Total,882.7158927
2011-10-01,América. América del Norte. Total,807.51861804
2011-11-01,América. América del Norte. Total,893.39762561
2011-12-01,América. América del Norte. Total,879.79663534
2012-01-01,América. América del Norte. Total,1067.6421758
2012-02-01,América. América del Norte. Total,1024.7756204
2012-03-01,América. América del Norte. Total,1271.785108
2012-04-01,América. América del Norte. Total,1127.4441495
2012-05-01,América. América del Norte. Total,916.84304747
2012-06-01,América. América del Norte. Total,957.52291347
2012-07-01,América. América del Norte. Total,854.84914815
2012-08-01,América. América del Norte. Total,886.21085769
2012-09-01,América. América del Norte. Total,746.23278108
2012-10-01,América. América del Norte. Total,1064.3097262
2012-11-01,América. América del Norte. Total,1059.7855909
2012-12-01,América. América del Norte. Total,1186.2030942
2013-01-01,América. América del Norte. Total,1454.4144425
2013-02-01,América. América del Norte. Total,1166.6803486
2013-03-01,América. América del Norte. Total,1240.6388854
2013-04-01,América. América del Norte. Total,1529.3972454
2013-05-01,América. América del Norte. Total,1132.9915523
2013-06-01,América. América del Norte. Total,936.75331048
2013-07-01,América. América del Norte. Total,877.40197183
2013-08-01,América. América del Norte. Total,884.71160874
2013-09-01,América. América del Norte. Total,671.9169156
2013-10-01,América. América del Norte. Total,866.21706926
2013-11-01,América. América del Norte. Total,784.82556031
2013-12-01,América. América del Norte. Total,917.84623799
2014-01-01,América. América del Norte. Total,993.7182438211
2014-02-01,América. América del Norte. Total,919.848303911313
2014-03-01,América. América del Norte. Total,1297.28057067935
2014-04-01,América. América del Norte. Total,1150.03033929359
2014-05-01,América. América del Norte. Total,1106.67979380724
2014-06-01,América. América del Norte. Total,901.048927467946
2014-07-01,América. América del Norte. Total,963.598317671834
2014-08-01,América. América del Norte. Total,908.311023296431
2014-09-01,América. América del Norte. Total,772.743555101729
2014-10-01,América. América del Norte. Total,896.248851583968
2014-11-01,América. América del Norte. Total,720.373110471923
2014-12-01,América. América del Norte. Total,1076.14582886252
2015-01-01,América. América del Norte. Total,1135.5554848
2015-02-01,América. América del Norte. Total,1019.2797921
2015-03-01,América. América del Norte. Total,1159.4075231
2015-04-01,América. América del Norte. Total,1078.714785
2015-05-01,América. América del Norte. Total,703.02972467
2015-06-01,América. América del Norte. Total,1001.8144547
2015-07-01,América. América del Norte. Total,842.34632832
2015-08-01,América. América del Norte. Total,860.12372677
2015-09-01,América. América del Norte. Total,734.02415646
2015-10-01,América. América del Norte. Total,700.77199661
2015-11-01,América. América del Norte. Total,720.66825846
2015-12-01,América. América del Norte. Total,736.68846435
2016-01-01,América. América del Norte. Total,949.28072605
2016-02-01,América. América del Norte. Total,1006.4154431
2016-03-01,América. América del Norte. Total,969.48711579
2016-04-01,América. América del Norte. Total,959.5314532
2016-05-01,América. América del Norte. Total,822.97666784
2016-06-01,América. América del Norte. Total,866.13298283
2016-07-01,América. América del Norte. Total,765.12093087
2016-08-01,América. América del Norte. Total,857.02333092
2016-09-01,América. América del Norte. Total,825.38888076
2016-10-01,América. América del Norte. Total,737.04611514
2016-11-01,América. América del Norte. Total,796.20285439
2016-12-01,América. América del Norte. Total,1027.3042797
2017-01-01,América. América del Norte. Total,1103.1143681
2017-02-01,América. América del Norte. Total,1039.9076291
2017-03-01,América. América del Norte. Total,1184.6091863
2017-04-01,América. América del Norte. Total,1026.839911
2017-05-01,América. América del Norte. Total,1112.1672684
2017-06-01,América. América del Norte. Total,971.40231451
2017-07-01,América. América del Norte. Total,1021.5956184
2017-08-01,América. América del Norte. Total,1142.1770915
2017-09-01,América. América del Norte. Total,974.97058879
2017-10-01,América. América del Norte. Total,948.02926506
2017-11-01,América. América del Norte. Total,902.97324154
2017-12-01,América. América del Norte. Total,1146.6849081
2018-01-01,América. América del Norte. Total,1229.7585995
2018-02-01,América. América del Norte. Total,1410.5583234
2018-03-01,América. América del Norte. Total,1210.9536285
2018-04-01,América. América del Norte. Total,1102.6164227
2018-05-01,América. América del Norte. Total,999.71235989
2018-06-01,América. América del Norte. Total,1015.5550083
2018-07-01,América. América del Norte. Total,1077.4033345
2018-08-01,América. América del Norte. Total,1059.7752735
2018-09-01,América. América del Norte. Total,896.1082844
2018-10-01,América. América del Norte. Total,1002.3113643
2018-11-01,América. América del Norte. Total,803.39507316
2018-12-01,América. América del Norte. Total,870.13403748
2019-01-01,América. América del Norte. Total,1068.6698404
2019-02-01,América. América del Norte. Total,995.710955
2019-03-01,América. América del Norte. Total,1247.8925859
2019-04-01,América. América del Norte. Total,1076.535783
2019-05-01,América. América del Norte. Total,1063.4857076
2019-06-01,América. América del Norte. Total,1011.2647334
2019-07-01,América. América del Norte. Total,926.05475999
2019-08-01,América. América del Norte. Total,972.86077142
2019-09-01,América. América del Norte. Total,1005.8742697
2019-10-01,América. América del Norte. Total,759.27013359
2019-11-01,América. América del Norte. Total,846.60981478
2019-12-01,América. América del Norte. Total,937.37053161
2020-01-01,América. América del Norte. Total,970.21531128
2020-02-01,América. América del Norte. Total,1039.8785762
2020-03-01,América. América del Norte. Total,1199.411392
2020-04-01,América. América del Norte. Total,1108.2387821
2020-05-01,América. América del Norte. Total,959.45963213
2020-06-01,América. América del Norte. Total,934.05737785
2020-07-01,América. América del Norte. Total,966.33906233
2020-08-01,América. América del Norte. Total,824.8507239
2020-09-01,América. América del Norte. Total,832.02056731
2020-10-01,América. América del Norte. Total,1008.5334104
2020-11-01,América. América del Norte. Total,859.12658871
2020-12-01,América. América del Norte. Total,1110.7276871
2021-01-01,América. América del Norte. Total,1114.199793652
2021-02-01,América. América del Norte. Total,1613.73892630198
2021-03-01,América. América del Norte. Total,1322.58330075177
2021-04-01,América. América del Norte. Total,1578.2569344159
2021-05-01,América. América del Norte. Total,1313.27919559459
2021-06-01,América. América del Norte. Total,1414.47846756024
2021-07-01,América. América del Norte. Total,1493.00988955273
2021-08-01,América. América del Norte. Total,1691.41953359512
2021-09-01,América. América del Norte. Total,1563.34658828571
2021-10-01,América. América del Norte. Total,1229.40918777716
2021-11-01,América. América del Norte. Total,1503.02356012544
2021-12-01,América. América del Norte. Total,1761.74787751964
2022-01-01,América. América del Norte. Total,1207.8987661
2022-02-01,América. América del Norte. Total,1302.7572746
2022-03-01,América. América del Norte. Total,1779.3890262
2022-04-01,América. América del Norte. Total,1568.8668781
2022-05-01,América. América del Norte. Total,1573.3031163
2022-06-01,América. América del Norte. Total,1519.4517719
2022-07-01,América. América del Norte. Total,1244.6931714
2022-08-01,América. América del Norte. Total,1525.225678
2022-09-01,América. América del Norte. Total,1281.392464
2022-10-01,América. América del Norte. Total,1108.4076505
2022-11-01,América. América del Norte. Total,1243.1120784
2022-12-01,América. América del Norte. Total,1408.2746697
2023-01-01,América. América del Norte. Total,1437.584956
2023-02-01,América. América del Norte. Total,1802.9251926
2023-03-01,América. América del Norte. Total,2043.000281
2023-04-01,América. América del Norte. Total,1440.7525096
2023-05-01,América. América del Norte. Total,1610.5054389
2023-06-01,América. América del Norte. Total,1468.1558078
