periodo,origen,importaciones_musd,continente,subregion,pais
2003-01-01,América. América del Norte. Estados Unidos,252.360776707508,América,América del Norte,Estados Unidos
2003-02-01,América. América del Norte. Estados Unidos,191.000260343012,América,América del Norte,Estados Unidos
2003-03-01,América. América del Norte. Estados Unidos,207.861548778543,América,América del Norte,Estados Unidos
2003-04-01,América. América del Norte. Estados Unidos,233.425083971367,América,América del Norte,Estados Unidos
2003-05-01,América. América del Norte. Estados Unidos,265.602056396773,América,América del Norte,Estados Unidos
2003-06-01,América. América del Norte. Estados Unidos,214.067299636436,América,América del Norte,Estados Unidos
2003-07-01,América. América del Norte. Estados Unidos,235.763164243506,América,América del Norte,Estados Unidos
2003-08-01,América. América del Norte. Estados Unidos,259.122800310757,América,América del Norte,Estados Unidos
2003-09-01,América. América del Norte. Estados Unidos,240.015816797557,América,América del Norte,Estados Unidos
2003-10-01,América. América del Norte. Estados Unidos,252.547512571785,América,América del Norte,Estados Unidos
2003-11-01,América. América del Norte. Estados Unidos,227.81725875681,América,América del Norte,Estados Unidos
2003-12-01,América. América del Norte. Estados Unidos,184.91988467669,América,América del Norte,Estados Unidos
2004-01-01,América. América del Norte. Estados Unidos,241.488675132682,América,América del Norte,Estados Unidos
2004-02-01,América. América del Norte. Estados Unidos,225.04027909558,América,América del Norte,Estados Unidos
2004-03-01,América. América del Norte. Estados Unidos,276.079805027872,América,América del Norte,Estados Unidos
2004-04-01,América. América del Norte. Estados Unidos,266.685047978712,América,América del Norte,Estados Unidos
2004-05-01,América. América del Norte. Estados Unidos,297.592908253082,América,América del Norte,Estados Unidos
2004-06-01,América. América del Norte. Estados Unidos,284.07857500521,América,América del Norte,Estados Unidos
2004-07-01,América. América del Norte. Estados Unidos,344.753912962602,América,América del Norte,Estados Unidos
2004-08-01,América. América del Norte. Estados Unidos,298.793296809079,América,América del Norte,Estados Unidos
2004-09-01,América. América del Norte. Estados Unidos,307.949046647496,América,América del Norte,Estados Unidos
2004-10-01,América. América del Norte. Estados Unidos,339.991885778025,América,América del Norte,Estados Unidos
2004-11-01,América. América del Norte. Estados Unidos,329.435651413488,América,América del Norte,Estados Unidos
2004-12-01,América. América del Norte. Estados Unidos,316.427667654234,América,América del Norte,Estados Unidos
2005-01-01,América. América del Norte. Estados Unidos,332.503101333839,América,América del Norte,Estados Unidos
2005-02-01,América. América del Norte. Estados Unidos,332.280730542563,América,América del Norte,Estados Unidos
2005-03-01,América. América del Norte. Estados Unidos,462.288156407122,América,América del Norte,Estados Unidos
2005-04-01,América. América del Norte. Estados Unidos,491.359200327776,América,América del Norte,Estados Unidos
2005-05-01,América. América del Norte. Estados Unidos,520.196390377918,América,América del Norte,Estados Unidos
2005-06-01,América. América del Norte. Estados Unidos,415.735233260466,América,América del Norte,Estados Unidos
2005-07-01,América. América del Norte. Estados Unidos,517.247571557022,América,América del Norte,Estados Unidos
2005-08-01,América. América del Norte. Estados Unidos,439.935803527912,América,América del Norte,Estados Unidos
2005-09-01,América. América del Norte. Estados Unidos,370.856234495061,América,América del Norte,Estados Unidos
2005-10-01,América. América del Norte. Estados Unidos,382.452940469235,América,América del Norte,Estados Unidos
2005-11-01,América. América del Norte. Estados Unidos,443.288615774031,América,América del Norte,Estados Unidos
2005-12-01,América. América del Norte. Estados Unidos,372.085216367763,América,América del Norte,Estados Unidos
2006-01-01,América. América del Norte. Estados Unidos,409.777785271105,América,América del Norte,Estados Unidos
2006-02-01,América. América del Norte. Estados Unidos,350.493364523819,América,América del Norte,Estados Unidos
2006-03-01,América. América del Norte. Estados Unidos,571.332342522862,América,América del Norte,Estados Unidos
2006-04-01,América. América del Norte. Estados Unidos,391.633379030265,América,América del Norte,Estados Unidos
