periodo,region,importaciones_musd
2003-01-01,América. América del Norte. Total,322.060681147643
2003-02-01,América. América del Norte. Total,249.378781040432
2003-03-01,América. América del Norte. Total,275.332315164067
2003-04-01,América. América del Norte. Total,299.944932976438
2003-05-01,América. América del Norte. Total,337.33535746924
2003-06-01,América. América del Norte. Total,290.780476697198
2003-07-01,América. América del Norte. Total,317.123752411793
2003-08-01,América. América del Norte. Total,325.673528749678
2003-09-01,América. América del Norte. Total,306.585836462793
2003-10-01,América. América del Norte. Total,340.762361519852
2003-11-01,América. América del Norte. Total,305.908580821491
2003-12-01,América. América del Norte. Total,264.16242179947
2004-01-01,América. América del Norte. Total,314.742114557457
2004-02-01,América. América del Norte. Total,301.863143244282
2004-03-01,América. América del Norte. Total,372.07040814963
2004-04-01,América. América del Norte. Total,375.377740189448
2004-05-01,América. América del Norte. Total,383.38754265481
2004-06-01,América. América del Norte. Total,359.761316063893
2004-07-01,América. América del Norte. Total,420.2993498993
2004-08-01,América. América del Norte. Total,386.191065186027
2004-09-01,América. América del Norte. Total,381.899359086067
2004-10-01,América. América del Norte. Total,425.749127399097
2004-11-01,América. América del Norte. Total,416.911824837152
2004-12-01,América. América del Norte. Total,407.090159732346
2005-01-01,América. América del Norte. Total,411.982410838693
2005-02-01,América. América del Norte. Total,419.415190122912
2005-03-01,América. América del Norte. Total,554.952812883403
2005-04-01,América. América del Norte. Total,582.879972646471
2005-05-01,América. América del Norte. Total,636.591348954986
2005-06-01,América. América del Norte. Total,504.885764964936
2005-07-01,América. América del Norte. Total,626.698620068282
2005-08-01,América. América del Norte. Total,534.860650662461
2005-09-01,América. América del Norte. Total,484.616979697062
2005-10-01,América. América del Norte. Total,527.594546041859
2005-11-01,América. América del Norte. Total,552.064983923594
2005-12-01,América. América del Norte. Total,477.783977023993
2006-01-01,América. América del Norte. Total,492.836959094392
2006-02-01,América. América del Norte. Total,473.042642774438
2006-03-01,América. América del Norte. Total,715.727036146927
2006-04-01,América. América del Norte. Total,502.252229620204
2006-05-01,América. América del Norte. Total,701.462249401924
2006-06-01,América. América del Norte. Total,824.63997317655
2006-07-01,América. América del Norte. Total,723.430163871176
2006-08-01,América. América del Norte. Total,652.062604046066
2006-09-01,América. América del Norte. Total,532.221337416142
2006-10-01,América. América del Norte. Total,700.653789180769
2006-11-01,América. América del Norte. Total,687.205476520208
2006-12-01,América. América del Norte. Total,657.024653785244
2007-01-01,América. América del Norte. Total,542.779734851274
2007-02-01,América. América del Norte. Total,656.971191273172
2007-03-01,América. América del Norte. Total,844.555458707968
2007-04-01,América. América del Norte. Total,691.169080539319
2007-05-01,América. América del Norte. Total,931.969928274991
2007-06-01,América. América del Norte. Total,811.037970254723
2007-07-01,América. América del Norte. Total,982.578161599772
2007-08-01,América. América del Norte. Total,1063.03328978671
2007-09-01,América. América del Norte. Total,735.519616519547
2007-10-01,América. América del Norte. Total,967.708986088631
2007-11-01,América. América del Norte. Total,1079.66795780856
2007-12-01,América. América del Norte. Total,870.558888781133
2008-01-01,América. América del Norte. Total,990.246245065311
2008-02-01,América. América del Norte. Total,981.178941186772
2008-03-01,América. América del Norte. Total,1191.97385342555
2008-04-01,América. América del Norte. Total,1375.40418934252
2008-05-01,América. América del Norte. Total,1473.74373409429
2008-06-01,América. América del Norte. Total,1661.01291043734
2008-07-01,América. América del Norte. Total,1498.49915134732
2008-08-01,América. América del Norte. Total,1287.82914454343
2008-09-01,América. América del Norte. Total,1138.63921089323
2008-10-01,América. América del Norte. Total,1237.6639184338
2008-11-01,América. América del Norte. Total,1009.59931453162
2008-12-01,América. América del Norte. Total,788.266579467847
2009-01-01,América. América del Norte. Total,748.055585091885
2009-02-01,América. América del Norte. Total,725.72596625966
2009-03-01,América. América del Norte. Total,691.656380560579
2009-04-01,América. América del Norte. Total,773.619227933225
2009-05-01,América. América del Norte. Total,740.599813588484
2009-06-01,América. América del Norte. Total,725.228126121055
2009-07-01,América. América del Norte. Total,895.258425228263
2009-08-01,América. América del Norte. Total,730.616218163895
2009-09-01,América. América del Norte. Total,805.905826303125
2009-10-01,América. América del Norte. Total,913.15297701775
2009-11-01,América. América del Norte. Total,980.386533213579
