"SERIES","Exportaciones por países. BH51101","Exportaciones por países. BH51102","Exportaciones por países. BH51103","Exportaciones por países. BH51104","Exportaciones por países. BH51105","Exportaciones por países. BH51106","Exportaciones por países. BH51107","Exportaciones por países. BH51108","Exportaciones por países. BH51109","Exportaciones por países. BH51110","Exportaciones por países. BH51111","Exportaciones por países. BH51112","Exportaciones por países. BH51113","Exportaciones por países. BH51114"
"DESCRIPCIÓN","América. América del Norte. Estados Unidos","América. América del Norte. México","América. América del Norte. Canadá","América. América del Norte. Total","América. América del Sur. Brasil","América. América del Sur. Argentina","América. América del Sur. Total","Total América Exportaciones","Europa. Unión Europea","Europa. Total","Asia. China","Asia. Japón","Asia. Corea del Sur","Asia. Total"
"UNIDAD","Millones de dólares FOB","Millones de dólares FOB","Millones de dólares FOB","Millones de dólares FOB","Millones de dólares FOB","Millones de dólares FOB","Millones de dólares FOB","Millones de dólares FOB","Millones de dólares FOB","Millones de dólares FOB","Millones de dólares FOB","Millones de dólares FOB","Millones de dólares FOB","Millones de dólares FOB"
"ENE2003","436.85444651","72.17491181","18.24114238","527.2705007","50.887365297","18.497333773","225.0239582","790.34325672","363.71835125","389.80546966","122.73075","254.14534076","60.436042396","525.96477839"
"FEB2003","313.62611579","70.03558571","14.51432547","398.17602697","65.00962328","19.77017082","236.89178272","672.74777029","352.63715097","361.61777262","142.71080821","179.98706592","94.00980806","530.27918555"
"MAR2003","428.21924859","64.777542662","15.964151516","508.96094277","61.391728812","21.396751584","248.64610732","788.74877243","465.03075343","491.17478949","126.28406759","201.95699089","89.76580713","551.40498894"
"ABR2003","367.56548411","76.153028983","57.7705648","501.48907789","57.333226579","20.33578349","245.42073987","788.64790965","488.02914566","511.48606071","142.09876167","124.66873534","81.339976372","471.33887828"
"MAY2003","280.54538486","75.02723896","45.60837236","401.18099618","76.748804214","25.491595982","292.81153738","729.6831657","465.30319846","527.73646831","190.39172554","209.11132142","71.61786106","603.06082672"
"JUN2003","233.72943461","58.70326432","13.89889732","306.33159625","60.383488916","23.547623285","258.30551688","597.86210443","404.40141422","426.2045362","138.47107266","191.45151278","101.0011973","571.60866324"
"JUL2003","274.84863707","85.967798251","48.958539","409.77497432","71.418974532","32.667615628","299.40794997","747.93254707","376.22802814","402.85096971","154.97503317","187.17483503","90.775234017","568.08765135"
"AGO2003","252.66258563","78.62837238","60.96411709","392.2550751","75.6610437","22.727103187","304.79945596","738.2186339","451.27832433","466.05465486","158.12495319","193.05717779","97.883160515","537.31945002"
"SEP2003","232.87719457","76.590753386","12.756633","322.22458096","75.598166968","27.533416514","283.57726329","651.25687491","396.50495506","443.62855403","180.64402831","163.60398224","108.69815955","562.36864715"
"OCT2003","317.74728528","103.06626357","76.85180183","497.66535068","93.260774608","32.110648548","328.90287664","867.93022967","358.42444742","445.00090723","202.11594211","189.63515643","72.26066562","557.52240766"
"NOV2003","230.17417895","81.22399623","59.87431768","371.27249286","71.111746285","26.617273679","292.66491517","707.68842001","322.50184417","435.05871054","172.74398807","261.121589","119.21130894","702.45014051"
"DIC2003","412.79576026","70.02613522","11.84051998","494.66241546","81.592621491","33.972204626","349.27459497","883.44774081","465.83740143","586.94593093","177.72875854","269.46279934","103.57818124","666.9557766"
"ENE2004","451.55848132","84.91895085","58.58040063","595.0578328","112.87703536","25.320895978","311.67215155","948.30372817","482.6465851","552.130594","163.36002766","295.66678422","131.84301715","772.21631007"
"FEB2004","415.17245659","87.29984327","53.1583081","555.63060796","96.448935835","29.08391974","301.11688512","897.05455575","600.67810467","671.36995036","249.55744564","333.14148403","201.31759888","986.44226919"
"MAR2004","497.0963273","116.72121143","15.590698349","629.40823708","100.8762502","37.431967943","334.3993595","1016.5897358","786.85247153","853.76919215","221.06539264","264.57016006","146.18225451","887.71911263"
"ABR2004","429.3697372","113.02478594","58.38177124","600.77629438","131.32422782","29.430620022","354.69092664","999.38479563","697.04214372","764.89166858","225.19780526","325.5490582","162.57777701","1006.1830908"
"MAY2004","305.75563148","90.71234154","80.88705771","477.35503073","108.98939411","43.524217559","377.10744578","906.18274582","700.84297987","739.40784478","256.94104051","301.72427157","199.18102315","995.83014234"
"JUN2004","359.76633426","100.9367865","91.65396612","552.35708688","120.71559409","32.933880394","372.45060633","968.20037859","594.62917862","610.71068928","251.22967527","359.84399767","117.56616194","881.13979163"
"JUL2004","374.80385052","122.26772791","18.3380903","515.40966873","104.29367156","33.593141714","350.72639497","905.18186141","792.11205992","870.23285392","321.1562855","286.87677813","178.97834589","1031.9362259"
"AGO2004","361.00322054","118.05255102","103.4076556","582.46342716","136.17796189","35.505820414","402.50893797","1053.9369973","692.11115547","715.56978704","268.51402087","395.88385582","148.51020603","1002.3430685"
"SEP2004","423.18443421","126.59252702","98.02160946","647.79857069","152.36922914","35.552405057","406.12164771","1101.0178596","711.28402059","785.75601334","322.9675262","260.49747571","141.76226163","871.56154237"
"OCT2004","360.15111876","104.73201067","83.11193029","547.99505972","115.29267454","38.224748366","352.85932494","971.64911722","615.19113665","722.25714777","364.33744941","339.29801654","124.42291205","1044.3239394"
"NOV2004","434.28946255","147.19555939","73.65896327","655.14398522","135.9758886","41.966538002","403.88519009","1140.6408587","609.88123242","703.33293061","394.87245404","323.72970302","168.36548616","1081.0849911"
"DIC2004","598.59072295","132.00403162","89.89158327","820.48633784","90.270920117","44.771617117","381.99895967","1287.810226","620.51432937","696.14672973","402.5943753","420.69047526","163.06423189","1182.4641495"
