"SERIES","Importaciones por países. BH51201","Importaciones por países. BH51202","Importaciones por países. BH51203","Importaciones por países. BH51204","Importaciones por países. BH51205","Importaciones por países. BH51206","Importaciones por países. BH51207","Importaciones por países. BH51208","Importaciones por países. BH51209","Importaciones por países. BH51210","Importaciones por países. BH51211","Importaciones por países. BH51212","Importaciones por países. BH51213","Importaciones por países. BH51214"
"DESCRIPCIÓN","América. América del Norte. Estados Unidos","América. América del Norte. México","América. América del Norte. Canadá","América. América del Norte. Total","América. América del Sur. Brasil","América. América del Sur. Argentina","América. América del Sur. Total","Total Importaciones America","Europa. Unión Europea","Europa. Total","Asia. China","Asia. Japón","Asia. Corea del Sur","Asia. Total"
"UNIDAD","Millones de dólares CIF","Millones de dólares CIF","Millones de dólares CIF","Millones de dólares CIF","Millones de dólares CIF","Millones de dólares CIF","Millones de dólares CIF","Millones de dólares CIF","Millones de dólares CIF","Millones de dólares CIF","Millones de dólares CIF","Millones de dólares CIF","Millones de dólares CIF","Millones de dólares CIF"
"ENE2003","252.360776707508","36.9845826153168","32.7153218248182","322.060681147643","183.433208853771","377.0392134577","649.230260595658","979.58455168718","255.985240510485","292.438832695005","152.459160168093","66.0949992270366","58.841809326394","355.497403089697"
"FEB2003","191.000260343012","38.2732880342959","20.1052326631235","249.378781040432","162.337167255605","283.267301165662","536.571846283081","790.102910107514","226.450456224575","249.758094061189","136.599955770114","51.2899776478411","33.4984224510894","275.071034213387"
"MAR2003","207.861548778543","35.7339241243118","31.7368422612131","275.332315164067","128.082110889866","283.025685129461","482.700507001839","766.029810700972","297.143300564972","316.945625615459","114.556562361385","39.054420668884","35.1563763645941","242.464392766906"
"ABR2003","233.425083971367","42.4368145997704","24.083034405301","299.944932976438","160.162211860723","314.592873813769","559.957120003899","864.047462014035","357.291128415943","383.951677354345","123.565438342966","62.8817415463303","53.6801449185569","307.002693035645"
"MAY2003","265.602056396773","41.0239311311015","30.7093699413663","337.33535746924","139.793149496956","308.893627466934","538.841096122699","884.645240901016","294.853316624083","328.858960494949","154.07463803381","74.0791805701086","36.6776799987076","338.847682301449"
"JUN2003","214.067299636436","47.983112160812","28.73006489995","290.780476697198","158.869479683105","264.562484665186","514.293786477285","811.665333787597","289.212587532671","312.805960713981","116.711530339561","42.5394959111659","43.5333374448618","266.648746373679"
"JUL2003","235.763164243506","51.1700403374341","30.1905478308535","317.123752411793","153.127910263417","369.054134341231","605.40694296945","929.420204296554","261.402564819875","289.019471819719","160.283158390562","57.6738988149901","55.6295511988434","353.413128736496"
"AGO2003","259.122800310757","40.1113877451796","26.4393406937413","325.673528749678","168.765256737145","308.000418615147","569.34786732528","904.815946584866","273.549441485793","291.610004275274","150.838982912652","78.5406340273619","54.3434557950152","376.432922140485"
"SEP2003","240.015816797557","43.4409421360282","23.1290775292068","306.585836462793","169.822656967653","299.551782614731","552.406565519024","866.612324697747","248.843062987703","265.408116249956","174.317009595097","59.5383617396795","32.441183875879","351.135072538383"
"OCT2003","252.547512571785","58.0738655451586","30.1409834029078","340.762361519852","198.74079273586","371.432209058737","672.053491519501","1021.28427496753","243.108475444571","266.217089541728","196.859215743194","66.447226853647","51.7448291323391","402.068463112875"
