periodo,precio_cobre_usd_lb
ENE2003,0.747
FEB2003,0.764
MAR2003,0.753
ABR2003,0.720
MAY2003,0.748
JUN2003,0.765
JUL2003,0.776
AGO2003,0.798
SEP2003,0.812
OCT2003,0.871
NOV2003,0.932
DIC2003,0.998
ENE2004,1.099
FEB2004,1.252
MAR2004,1.365
ABR2004,1.338
MAY2004,1.240
JUN2004,1.219
JUL2004,1.274
AGO2004,1.291
SEP2004,1.313
OCT2004,1.366
NOV2004,1.416
DIC2004,1.427
ENE2005,1.438
FEB2005,1.476
MAR2005,1.533
ABR2005,1.540
MAY2005,1.474
JUN2005,1.599
JUL2005,1.639
AGO2005,1.723
SEP2005,1.750
OCT2005,1.841
NOV2005,1.937
DIC2005,2.076
ENE2006,2.147
FEB2006,2.260
MAR2006,2.315
ABR2006,2.897
MAY2006,3.650
JUN2006,3.265
JUL2006,3.498
AGO2006,3.491
SEP2006,3.448
OCT2006,3.402
NOV2006,3.188
DIC2006,3.028
ENE2007,2.572
FEB2007,2.575
MAR2007,2.927
ABR2007,3.523
MAY2007,3.485
JUN2007,3.391
JUL2007,3.617
AGO2007,3.408
SEP2007,3.470
OCT2007,3.633
NOV2007,3.160
DIC2007,2.988
ENE2008,3.203
FEB2008,3.578
MAR2008,3.828
ABR2008,3.939
MAY2008,3.802
JUN2008,3.747
JUL2008,3.817
AGO2008,3.463
SEP2008,3.171
OCT2008,2.234
NOV2008,1.686
DIC2008,1.393
ENE2009,1.461
FEB2009,1.504
MAR2009,1.701
ABR2009,1.999
MAY2009,2.072
JUN2009,2.274
JUL2009,2.366
AGO2009,2.797
SEP2009,2.811
OCT2009,2.852
NOV2009,3.028
DIC2009,3.167
ENE2010,3.350
FEB2010,3.106
MAR2010,3.385
ABR2010,3.513
MAY2010,3.102
JUN2010,2.948
JUL2010,3.055
AGO2010,3.304
SEP2010,3.497
OCT2010,3.761
NOV2010,3.842
DIC2010,4.149
ENE2011,4.334
FEB2011,4.476
MAR2011,4.323
ABR2011,4.302
MAY2011,4.049
JUN2011,4.103
JUL2011,4.363
AGO2011,4.101
SEP2011,3.772
OCT2011,3.333
NOV2011,3.425
DIC2011,3.433
ENE2012,3.648
FEB2012,3.821
MAR2012,3.836
ABR2012,3.747
MAY2012,3.592
JUN2012,3.366
JUL2012,3.443
AGO2012,3.399
SEP2012,3.660
OCT2012,3.660
NOV2012,3.490
DIC2012,3.612
ENE2013,3.651
FEB2013,3.661
MAR2013,3.476
ABR2013,3.267
MAY2013,3.279
JUN2013,3.177
JUL2013,3.127
AGO2013,3.258
SEP2013,3.248
OCT2013,3.261
NOV2013,3.205
DIC2013,3.267
ENE2014,3.309
FEB2014,3.244
MAR2014,3.025
ABR2014,3.026
MAY2014,3.123
JUN2014,3.087
JUL2014,3.223
AGO2014,3.175
SEP2014,3.117
OCT2014,3.057
NOV2014,3.040
DIC2014,2.913
ENE2015,2.638
FEB2015,2.586
MAR2015,2.688
ABR2015,2.735
MAY2015,2.858
JUN2015,2.646
JUL2015,2.475
AGO2015,2.308
SEP2015,2.362
OCT2015,2.369
NOV2015,2.181
DIC2015,2.100
ENE2016,2.024
FEB2016,2.084
MAR2016,2.244
ABR2016,2.200
MAY2016,2.136
JUN2016,2.100
JUL2016,2.203
AGO2016,2.158
SEP2016,2.135
OCT2016,2.146
NOV2016,2.469
DIC2016,2.570
ENE2017,2.602
FEB2017,2.695
MAR2017,2.641
ABR2017,2.584
MAY2017,2.536
JUN2017,2.585
JUL2017,2.712
AGO2017,2.938
SEP2017,2.986
OCT2017,3.083
NOV2017,3.096
DIC2017,3.085
ENE2018,3.212
FEB2018,3.176
MAR2018,3.083
ABR2018,3.102
MAY2018,3.094
JUN2018,3.155
JUL2018,2.834
AGO2018,2.740
SEP2018,2.731
OCT2018,2.820
NOV2018,2.809
DIC2018,2.764
ENE2019,2.691
FEB2019,2.848
MAR2019,2.926
ABR2019,2.923
MAY2019,2.734
JUN2019,2.662
JUL2019,2.694
AGO2019,2.589
SEP2019,2.606
OCT2019,2.605
NOV2019,2.658
DIC2019,2.750
ENE2020,2.744
FEB2020,2.579
MAR2020,2.349
ABR2020,2.290
MAY2020,2.374
JUN2020,2.605
JUL2020,2.882
AGO2020,2.947
SEP2020,3.045
OCT2020,3.040
NOV2020,3.204
DIC2020,3.518
ENE2021,3.615
FEB2021,3.838
MAR2021,4.085
ABR2021,4.235
MAY2021,4.619
JUN2021,4.360
JUL2021,4.279
AGO2021,4.244
SEP2021,4.229
OCT2021,4.435
NOV2021,4.430
DIC2021,4.332
ENE2022,4.434
FEB2022,4.509
MAR2022,4.644
ABR2022,4.619
MAY2022,4.247
JUN2022,4.097
JUL2022,3.415
AGO2022,3.611
SEP2022,3.508
OCT2022,3.457
NOV2022,3.642
DIC2022,3.795
ENE2023,4.082
FEB2023,4.062
MAR2023,4.008
ABR2023,3.998
MAY2023,3.735
JUN2023,3.804
JUL2023,3.831
AGO2023,3.788
SEP2023,3.752
OCT2023,3.601
NOV2023,3.708
