periodo,volumen_cobre_ktm
ENE2023,434.4
FEB2023,366.2
MAR2023,453.7
ABR2023,475.9
MAY2023,535.1
JUN2023,388.8
JUL2023,480.5
AGO2023,423.4
SEP2023,418.1
OCT2023,492.5
NOV2023,611.3
DIC2023,405.6
ENE2024,566.7
FEB2024,478.4
MAR2024,359.1
ABR2024,488.4
MAY2024,514.8
JUN2024,397.8
JUL2024,476.2
AGO2024,505.0
SEP2024,518.2
OCT2024,552.9
NOV2024,547.5
DIC2024,457.3
ENE2025,438.6
FEB2025,498.9
MAR2025,529.3
ABR2025,425.9
MAY2025,580.0
JUN2025,444.3
JUL2025,525.2
AGO2025,429.5
SEP2025,468.9
OCT2025,523.9
NOV2025,389.7
DIC2025,435.3
ENE2026,525.2
FEB2026,453.2
MAR2026,475.6
ABR2026,472.2
MAY2026,423.3
